country,year,number
Australia,2010,10.4
Australia,2011,10.1
Australia,2012,10.0
Australia,2013,9.9
Australia,2014,9.8
Australia,2015,10.1
Australia,2016,10.1
Australia,2017,10.2
Australia,2018,10.3
Australia,2019,10.1
United States,2010,8.6
United States,2011,8.7
United States,2012,8.9
United States,2013,8.8
United States,2014,8.8
United States,2015,8.8
United States,2016,8.9
United States,2017,8.9
United States,2018,8.9
United States,2019,8.9
United Kingdom,2010,10.1
United Kingdom,2011,9.9
United Kingdom,2012,9.6
United Kingdom,2013,9.4
United Kingdom,2014,9.5
United Kingdom,2015,9.5
United Kingdom,2016,9.7
United Kingdom,2017,9.8
United Kingdom,2018,9.8
United Kingdom,2019,9.7
Italy,2010,7.0
Italy,2011,7.0
Italy,2012,7.5
Italy,2013,7.4
Italy,2014,7.6
Italy,2015,7.1
Italy,2016,7.1
Italy,2017,7.4
Italy,2018,7.8
Italy,2019,7.7
Japan,2010,7.3
Japan,2011,7.3
Japan,2012,7.2
Japan,2013,7.4
Japan,2014,7.1
Japan,2015,7.2
Japan,2016,7.2
Japan,2017,7.2
Japan,2018,7.2
Japan,2019,7.1
